iter	Accuracy	MultiClass
0	0.7673732386	1.59624162
1	0.8190413104	1.370424099
2	0.8218716127	1.219450552
3	0.8362037818	1.102202182
4	0.8425267975	1.0130713
5	0.8440322775	0.9392359671
6	0.8455377574	0.871036929
7	0.8472841142	0.8134189263
8	0.8443333735	0.7660544106
9	0.8493917861	0.7247042555
10	0.8500541973	0.6880466495
11	0.8546910755	0.6544904129
12	0.8591472962	0.6272654847
13	0.8564976515	0.6017905098
14	0.8588462002	0.5796943092
15	0.8593279538	0.5602405473
16	0.8599903649	0.5427308113
17	0.8613754065	0.5257583355
18	0.862760448	0.5110130478
19	0.8644465856	0.497402315
20	0.8661327231	0.4846348424
21	0.8667349151	0.4739863857
22	0.8675177647	0.4633988191
23	0.8678188607	0.4529872411
24	0.869143683	0.4454575369
25	0.870046971	0.4380649744
26	0.8708900397	0.4302263544
27	0.8718535469	0.4234317712
28	0.8733590269	0.4167420721
29	0.8731783693	0.411517713
30	0.8737805612	0.4056781328
31	0.8746838492	0.4008874971
32	0.8749849452	0.3955481205
33	0.8761893292	0.3910880262
34	0.8767915211	0.3874414216
35	0.8772130555	0.382844155
36	0.8784174395	0.3787469746
37	0.8786583163	0.3761085233
38	0.8798627002	0.372699869
39	0.8805853306	0.3694279181
40	0.881307961	0.3664365026
41	0.8813681802	0.36351485
42	0.8815488378	0.3613426664
43	0.8828736601	0.3586013575
44	0.8829338793	0.3560088384
45	0.8834758521	0.3534062473
46	0.8842587017	0.3512427614
47	0.8847404553	0.3490282027
48	0.8852222088	0.3468575464
49	0.8857641816	0.3448652642
50	0.8860652776	0.3433225842
51	0.8868481272	0.3412942024
52	0.8869083464	0.3397436838
53	0.8873901	0.3376618156
54	0.8878116343	0.335958081
55	0.8881127303	0.3346954842
56	0.8881127303	0.333044478
57	0.8883536071	0.3316471082
58	0.8887751415	0.330295055
59	0.8888353607	0.3288361499
60	0.8894375527	0.3273985467
61	0.8896784295	0.325960238
62	0.8903408407	0.3245326735
63	0.8901601831	0.3228304858
64	0.8906419366	0.321300791
65	0.8908828134	0.3199306297
66	0.8914850054	0.3186800742
67	0.8919065398	0.3174354885
68	0.8920871974	0.3165357774
69	0.8926291702	0.3154389584
70	0.892568951	0.3146889715
71	0.8934722389	0.3135630154
72	0.8934120198	0.3123736111
73	0.8937733349	0.311014317
74	0.8943755269	0.310114095
75	0.8949777189	0.3089009
76	0.8952185957	0.3077874684
77	0.8955196917	0.3065998661
78	0.8958810069	0.3059218149
79	0.8967240756	0.3047612784
80	0.8973262676	0.3038104614
81	0.897446706	0.3030657341
82	0.8973262676	0.3022834239
83	0.8976875828	0.3013670374
84	0.8976875828	0.3006659849
85	0.8981693364	0.2997189492
86	0.8982897748	0.2987811452
87	0.8984704324	0.2977497528
88	0.8984102132	0.2970210605
89	0.8988317476	0.2962174814
90	0.8988919668	0.2953014248
91	0.8991328436	0.2943564823
92	0.8994941587	0.2935085673
93	0.8997952547	0.2928915899
94	0.8994941587	0.2921596083
95	0.9000361315	0.2914311783
96	0.9001565699	0.2908755368
97	0.9003372275	0.2903255736
98	0.9009394195	0.2896178331
99	0.9013007347	0.2888112409
100	0.9014211731	0.2878935506
101	0.9016620499	0.2873200859
102	0.9017222691	0.2866360443
103	0.9022642418	0.2859557266
104	0.902324461	0.2855998028
105	0.9027459954	0.2848137551
106	0.9027459954	0.2844704588
107	0.9028062146	0.2839098422
108	0.9031073106	0.283384743
109	0.903829941	0.282815519
110	0.9040708178	0.2822177175
111	0.903829941	0.2817370471
112	0.9040105986	0.2810018293
113	0.9042514754	0.280569917
114	0.9042514754	0.2800369751
115	0.9043719138	0.2793618027
116	0.9044923522	0.2789595647
117	0.9046730098	0.2783153575
118	0.9049138865	0.2775185277
119	0.9053354209	0.2767893207
120	0.9058773937	0.2761782363
121	0.9061182705	0.275708168
122	0.9061182705	0.2754150733
123	0.9062989281	0.2747076464
124	0.9067204625	0.2740112742
125	0.9069011201	0.2732913489
126	0.9071419969	0.2725608012
127	0.9075635313	0.2720454814
128	0.9074430929	0.2713296418
129	0.9076237505	0.2709736413
130	0.9079248464	0.2703916207
131	0.9080452848	0.2700044076
132	0.9086474768	0.269298582
133	0.9084668192	0.2689032845
134	0.9088883536	0.2683659621
135	0.909008792	0.2676932742
136	0.9091292304	0.2674200124
137	0.909309888	0.2668686589
138	0.9095507648	0.2665461161
139	0.9097314224	0.2658199217
140	0.9099722992	0.2653401804
141	0.9101529568	0.2648676045
142	0.910213176	0.2644892032
143	0.910213176	0.2643537442
144	0.9102733952	0.2639076183
145	0.9105744911	0.2635438104
146	0.9104540528	0.263222928
147	0.9103938336	0.2629612096
148	0.9105744911	0.2622529931
149	0.9107551487	0.2618225445
150	0.9108755871	0.2615183023
151	0.9112971215	0.2607389771
152	0.9114175599	0.2604200449
153	0.9114175599	0.2600390167
154	0.9114777791	0.2597339424
155	0.9114175599	0.2592058029
156	0.9114175599	0.2590223952
157	0.9117186559	0.2586474022
158	0.9123208479	0.2579549705
159	0.9124412863	0.257638115
160	0.9125015055	0.2571107813
161	0.9125617247	0.2566848395
162	0.9129230399	0.2563181707
163	0.9132843551	0.2559964551
164	0.9134047934	0.2556676702
165	0.9136456702	0.2550963133
166	0.9139467662	0.2546771836
167	0.9137661086	0.2543204218
168	0.9140069854	0.2539714169
169	0.9141274238	0.2536087233
170	0.9143080814	0.2531164272
171	0.9143683006	0.2529287998
172	0.9140672046	0.2525646478
173	0.914187643	0.2521092005
174	0.9140672046	0.2519000485
175	0.9142478622	0.2516125457
176	0.9142478622	0.2514071875
177	0.914488739	0.2509938527
178	0.914488739	0.250699713
179	0.9152113694	0.2503416816
180	0.9152715886	0.2499301841
181	0.915693123	0.249693253
182	0.9158135614	0.249302336
183	0.9163555341	0.2489676205
184	0.9161146574	0.2487274264
185	0.9158135614	0.2484655687
186	0.9160544382	0.2480132831
187	0.9162350957	0.2475562667
188	0.9165361917	0.2473028775
189	0.9168372877	0.2471088991
190	0.9168975069	0.2464915191
191	0.9167168493	0.2463119867
192	0.9165964109	0.2461312509
193	0.9169577261	0.2459256986
194	0.9170179453	0.2455204169
195	0.9171383837	0.2451457023
196	0.9172588221	0.2448598016
197	0.9173190413	0.2445703825
198	0.9177405757	0.2440070836
199	0.9173792605	0.2437717737
200	0.9178610141	0.2434190518
201	0.9178007949	0.2428829325
202	0.9179814525	0.242715461
203	0.9180416717	0.2423742762
204	0.9182223293	0.2420474239
205	0.9181621101	0.2417369359
206	0.9181018909	0.2413266171
207	0.9186438637	0.2410868792
208	0.9187040829	0.2408209063
209	0.9185836445	0.24052773
210	0.9185234253	0.2400746308
211	0.9185836445	0.2398300718
212	0.9186438637	0.2396058066
213	0.9188245213	0.2395027281
214	0.9188847405	0.2391430235
215	0.9188245213	0.2389507008
216	0.9189449597	0.2386594232
217	0.9191858364	0.2384542724
218	0.919366494	0.2381735339
219	0.9194267132	0.2379526475
220	0.9194869324	0.2378245953
221	0.9194869324	0.2375656058
222	0.9198482476	0.2373065414
223	0.9198482476	0.2369427016
224	0.9197278092	0.2366872248
225	0.9199084668	0.2363569081
226	0.9200891244	0.2361729716
227	0.9197880284	0.2359295697
228	0.9198482476	0.2356771191
229	0.9199084668	0.2354035378
230	0.9197278092	0.2352650087
231	0.9201493436	0.2348297754
232	0.9202095628	0.2346562564
233	0.9201493436	0.2344670804
234	0.9203902204	0.2341966212
235	0.9202095628	0.2339362149
236	0.9201493436	0.2336975638
237	0.9204504396	0.2331977134
238	0.9205106588	0.2329854384
239	0.920570878	0.2327549928
240	0.920570878	0.232526313
241	0.9209321932	0.2322754509
242	0.9209924124	0.2320864512
243	0.920871974	0.2317072635
244	0.9209321932	0.2313603826
245	0.9209924124	0.2311936517
246	0.9206913164	0.2309399864
247	0.920871974	0.2307293975
248	0.9209321932	0.2305675012
249	0.9211128508	0.2302433343
250	0.921474166	0.2300845134
251	0.9215343852	0.229822338
252	0.9217150428	0.2295727727
253	0.921775262	0.2294162225
254	0.9217150428	0.2291915807
255	0.9217150428	0.228841808
256	0.9218957003	0.228587889
257	0.9216548236	0.2284463486
258	0.9219559195	0.2282499808
259	0.9221365771	0.2280287169
260	0.9216548236	0.2277990562
261	0.9218957003	0.2275027084
262	0.9219559195	0.2272748363
263	0.9220763579	0.2269513755
264	0.9221365771	0.2265863992
265	0.9220763579	0.2262232789
266	0.9220763579	0.2259753149
267	0.9221967963	0.2258144775
268	0.9221365771	0.2256780976
269	0.9223172347	0.2253756099
270	0.9224978923	0.2251235968
271	0.9225581115	0.2248877378
272	0.9224978923	0.2246797409
273	0.9225581115	0.22458532
274	0.9226785499	0.2243540777
275	0.9227989883	0.2242140595
276	0.9226785499	0.2237574069
277	0.9232205227	0.2234217862
278	0.9231603035	0.2231796962
279	0.9232205227	0.2228937633
280	0.9232205227	0.2225309862
281	0.9235818379	0.2222379157
282	0.9238227147	0.2220038264
283	0.9238829339	0.221861524
284	0.9238829339	0.2215704482
285	0.9237624955	0.2213725332
286	0.9236420571	0.2211625199
287	0.9241238107	0.2210201152
288	0.9238829339	0.2208682415
289	0.9241840299	0.2206005934
290	0.9240635915	0.2202932583
291	0.9243646875	0.2201024376
292	0.9246055643	0.219943353
293	0.9243646875	0.219843151
294	0.9245453451	0.2195700007
295	0.9246657835	0.2194381858
296	0.9249668794	0.2191037632
297	0.9249066602	0.2187476061
298	0.9252077562	0.2183699353
299	0.9250270986	0.2181834395
300	0.925147537	0.2177899252
301	0.9255690714	0.2176092081
302	0.9256292906	0.2173269015
303	0.9256895098	0.2171647661
304	0.925448633	0.2169699208
305	0.9255088522	0.2167434729
306	0.9256292906	0.2165208183
