iter	Passed	Remaining
0	193	193063
1	204	101807
2	215	71535
3	225	56177
4	235	46866
5	246	40890
6	257	36462
7	267	33200
8	278	30613
9	288	28583
10	299	26933
11	311	25639
12	321	24404
13	332	23388
14	343	22526
15	355	21845
16	366	21177
17	377	20591
18	387	20020
19	397	19480
20	407	19017
21	418	18598
22	428	18188
23	438	17821
24	449	17513
25	458	17184
26	468	16897
27	478	16613
28	488	16354
29	499	16145
30	510	15947
31	520	15746
32	531	15560
33	541	15380
34	552	15223
35	562	15067
36	572	14906
37	582	14736
38	591	14581
39	600	14418
40	610	14273
41	619	14132
42	628	13998
43	638	13868
44	648	13757
45	657	13644
46	667	13526
47	676	13410
48	685	13307
49	695	13206
50	703	13098
51	713	13013
52	723	12932
53	732	12841
54	742	12751
55	751	12667
56	760	12582
57	770	12507
58	779	12429
59	788	12356
60	798	12296
61	808	12224
62	816	12150
63	826	12088
64	835	12020
65	844	11955
66	853	11890
67	862	11826
68	872	11768
69	881	11705
70	890	11653
71	899	11599
72	909	11551
73	918	11492
74	927	11443
75	937	11397
76	946	11348
77	956	11304
78	965	11259
79	975	11212
80	985	11179
81	995	11143
82	1004	11100
83	1013	11052
84	1022	11007
85	1032	10970
86	1041	10928
87	1050	10891
88	1060	10855
89	1070	10825
90	1079	10787
91	1088	10744
92	1097	10707
93	1107	10673
94	1117	10647
95	1126	10607
96	1134	10564
97	1143	10527
98	1153	10495
99	1162	10465
100	1172	10433
101	1181	10404
102	1191	10373
103	1200	10345
104	1209	10308
105	1218	10278
106	1228	10252
107	1237	10220
108	1247	10193
109	1256	10162
110	1265	10133
111	1273	10099
112	1283	10077
113	1294	10062
114	1305	10048
115	1315	10026
116	1324	9992
117	1332	9962
118	1341	9931
119	1350	9906
120	1359	9877
121	1368	9852
122	1378	9828
123	1387	9802
124	1397	9781
125	1406	9759
126	1416	9740
127	1426	9719
128	1436	9701
129	1445	9675
130	1455	9652
131	1463	9624
132	1472	9600
133	1481	9577
134	1491	9554
135	1500	9531
136	1509	9508
137	1519	9489
138	1528	9467
139	1538	9448
140	1547	9426
141	1557	9410
142	1567	9394
143	1577	9374
144	1587	9359
145	1597	9341
146	1606	9323
147	1616	9303
148	1625	9283
149	1634	9264
150	1643	9243
151	1653	9227
152	1663	9208
153	1673	9193
154	1683	9175
155	1693	9161
156	1702	9141
157	1712	9124
158	1721	9107
159	1731	9092
160	1742	9078
161	1751	9059
162	1761	9044
163	1771	9029
164	1780	9009
165	1789	8991
166	1798	8972
167	1807	8951
168	1816	8930
169	1826	8915
170	1835	8897
171	1845	8882
172	1856	8873
173	1866	8859
174	1876	8844
175	1885	8828
176	1895	8811
177	1904	8795
178	1913	8776
179	1922	8757
180	1931	8738
181	1940	8720
182	1949	8704
183	1959	8690
184	1969	8674
185	1979	8661
186	1989	8649
187	1999	8635
188	2009	8621
189	2020	8613
190	2031	8604
191	2041	8591
192	2051	8578
193	2061	8565
194	2072	8554
195	2083	8545
196	2093	8534
197	2105	8526
198	2116	8519
199	2126	8506
200	2135	8489
201	2145	8477
202	2156	8465
203	2166	8453
204	2176	8440
205	2186	8428
206	2199	8425
207	2210	8418
208	2221	8408
209	2234	8404
210	2245	8395
211	2255	8382
212	2265	8369
213	2274	8355
